State,Year,Quater,District,Users
Andaman & Nicobar,2018,1,north and middle andaman district,632
Andaman & Nicobar,2018,1,south andaman district,5846
Andaman & Nicobar,2018,1,nicobars district,262
Andaman & Nicobar,2018,2,north and middle andaman district,911
Andaman & Nicobar,2018,2,south andaman district,8143
Andaman & Nicobar,2018,2,nicobars district,351
Andaman & Nicobar,2018,3,north and middle andaman district,1208
Andaman & Nicobar,2018,3,south andaman district,10474
Andaman & Nicobar,2018,3,nicobars district,467
Andaman & Nicobar,2018,4,north and middle andaman district,1553
Andaman & Nicobar,2018,4,south andaman district,13133
Andaman & Nicobar,2018,4,nicobars district,536
Andaman & Nicobar,2019,1,north and middle andaman district,2013
Andaman & Nicobar,2019,1,south andaman district,15961
Andaman & Nicobar,2019,1,nicobars district,622
Andaman & Nicobar,2019,2,north and middle andaman district,2417
Andaman & Nicobar,2019,2,south andaman district,18621
Andaman & Nicobar,2019,2,nicobars district,693
Andaman & Nicobar,2019,3,north and middle andaman district,2662
Andaman & Nicobar,2019,3,south andaman district,20518
Andaman & Nicobar,2019,3,nicobars district,751
Andaman & Nicobar,2019,4,north and middle andaman district,2955
Andaman & Nicobar,2019,4,south andaman district,22202
Andaman & Nicobar,2019,4,nicobars district,803
Andaman & Nicobar,2020,1,north and middle andaman district,3315
Andaman & Nicobar,2020,1,south andaman district,24174
Andaman & Nicobar,2020,1,nicobars district,879
Andaman & Nicobar,2020,2,north and middle andaman district,4100
Andaman & Nicobar,2020,2,south andaman district,27626
Andaman & Nicobar,2020,2,nicobars district,984
Andaman & Nicobar,2020,3,north and middle andaman district,5355
Andaman & Nicobar,2020,3,south andaman district,34833
Andaman & Nicobar,2020,3,nicobars district,1147
Andaman & Nicobar,2020,4,north and middle andaman district,7076
Andaman & Nicobar,2020,4,south andaman district,43908
Andaman & Nicobar,2020,4,nicobars district,1412
Andaman & Nicobar,2021,1,north and middle andaman district,7833
Andaman & Nicobar,2021,1,south andaman district,48352
Andaman & Nicobar,2021,1,nicobars district,1573
Andaman & Nicobar,2021,2,north and middle andaman district,8493
Andaman & Nicobar,2021,2,south andaman district,51903
Andaman & Nicobar,2021,2,nicobars district,1699
Andaman & Nicobar,2021,3,north and middle andaman district,9263
Andaman & Nicobar,2021,3,south andaman district,55873
Andaman & Nicobar,2021,3,nicobars district,1846
Andaman & Nicobar,2021,4,north and middle andaman district,10002
Andaman & Nicobar,2021,4,south andaman district,59807
Andaman & Nicobar,2021,4,nicobars district,1971
Andaman & Nicobar,2022,1,north and middle andaman district,10720
Andaman & Nicobar,2022,1,south andaman district,63487
Andaman & Nicobar,2022,1,nicobars district,2081
Andaman & Nicobar,2022,2,north and middle andaman district,11379
Andaman & Nicobar,2022,2,south andaman district,66959
Andaman & Nicobar,2022,2,nicobars district,2192
Andaman & Nicobar,2022,3,north and middle andaman district,11897
Andaman & Nicobar,2022,3,south andaman district,70445
Andaman & Nicobar,2022,3,nicobars district,2300
Andaman & Nicobar,2022,4,north and middle andaman district,12361
Andaman & Nicobar,2022,4,south andaman district,73692
Andaman & Nicobar,2022,4,nicobars district,2389
Andhra Pradesh,2018,1,east godavari district,350356
Andhra Pradesh,2018,1,srikakulam district,143839
Andhra Pradesh,2018,1,visakhapatnam district,497187
Andhra Pradesh,2018,1,prakasam district,189949
Andhra Pradesh,2018,1,anantapur district,241192
Andhra Pradesh,2018,1,kurnool district,240133
Andhra Pradesh,2018,1,guntur district,317065
Andhra Pradesh,2018,1,krishna district,323673
Andhra Pradesh,2018,1,spsr nellore district,194475
Andhra Pradesh,2018,1,vizianagaram district,128905
Andhra Pradesh,2018,1,ysr district,186800
Andhra Pradesh,2018,1,west godavari district,213335
Andhra Pradesh,2018,1,chittoor district,309541
Andhra Pradesh,2018,2,east godavari district,454398
Andhra Pradesh,2018,2,srikakulam district,186913
Andhra Pradesh,2018,2,visakhapatnam district,636052
Andhra Pradesh,2018,2,prakasam district,253458
Andhra Pradesh,2018,2,anantapur district,326383
Andhra Pradesh,2018,2,kurnool district,319313
Andhra Pradesh,2018,2,guntur district,420326
Andhra Pradesh,2018,2,krishna district,431965
Andhra Pradesh,2018,2,spsr nellore district,261049
Andhra Pradesh,2018,2,vizianagaram district,167327
Andhra Pradesh,2018,2,ysr district,248657
Andhra Pradesh,2018,2,west godavari district,282393
Andhra Pradesh,2018,2,chittoor district,414306
Andhra Pradesh,2018,3,east godavari district,558982
Andhra Pradesh,2018,3,srikakulam district,228456
Andhra Pradesh,2018,3,visakhapatnam district,769096
Andhra Pradesh,2018,3,prakasam district,314899
Andhra Pradesh,2018,3,anantapur district,405855
Andhra Pradesh,2018,3,kurnool district,394311
Andhra Pradesh,2018,3,guntur district,518931
Andhra Pradesh,2018,3,krishna district,537086
Andhra Pradesh,2018,3,spsr nellore district,322446
Andhra Pradesh,2018,3,vizianagaram district,203655
Andhra Pradesh,2018,3,ysr district,308391
Andhra Pradesh,2018,3,west godavari district,349782
Andhra Pradesh,2018,3,chittoor district,515727
Andhra Pradesh,2018,4,east godavari district,694455
Andhra Pradesh,2018,4,srikakulam district,284874
Andhra Pradesh,2018,4,visakhapatnam district,978288
Andhra Pradesh,2018,4,prakasam district,394962
Andhra Pradesh,2018,4,anantapur district,510892
Andhra Pradesh,2018,4,kurnool district,498582
Andhra Pradesh,2018,4,guntur district,659552
Andhra Pradesh,2018,4,krishna district,682479
Andhra Pradesh,2018,4,spsr nellore district,407495
Andhra Pradesh,2018,4,vizianagaram district,257824
Andhra Pradesh,2018,4,ysr district,387058
Andhra Pradesh,2018,4,west godavari district,435668
Andhra Pradesh,2018,4,chittoor district,665280
Andhra Pradesh,2019,1,east godavari district,839277
Andhra Pradesh,2019,1,srikakulam district,345775
Andhra Pradesh,2019,1,visakhapatnam district,1174517
Andhra Pradesh,2019,1,prakasam district,474260
Andhra Pradesh,2019,1,anantapur district,612162
Andhra Pradesh,2019,1,kurnool district,599422
Andhra Pradesh,2019,1,guntur district,802394
Andhra Pradesh,2019,1,krishna district,833694
Andhra Pradesh,2019,1,spsr nellore district,491908
Andhra Pradesh,2019,1,vizianagaram district,313334
Andhra Pradesh,2019,1,ysr district,460590
Andhra Pradesh,2019,1,west godavari district,523372
Andhra Pradesh,2019,1,chittoor district,812314
Andhra Pradesh,2019,2,east godavari district,945181
Andhra Pradesh,2019,2,srikakulam district,392764
Andhra Pradesh,2019,2,visakhapatnam district,1318740
Andhra Pradesh,2019,2,prakasam district,539462
Andhra Pradesh,2019,2,anantapur district,695114
Andhra Pradesh,2019,2,kurnool district,680118
Andhra Pradesh,2019,2,guntur district,915256
Andhra Pradesh,2019,2,krishna district,952300
Andhra Pradesh,2019,2,spsr nellore district,558303
Andhra Pradesh,2019,2,vizianagaram district,355058
Andhra Pradesh,2019,2,ysr district,519031
Andhra Pradesh,2019,2,west godavari district,592185
Andhra Pradesh,2019,2,chittoor district,925491
Andhra Pradesh,2019,3,east godavari district,1057167
Andhra Pradesh,2019,3,srikakulam district,437939
